word	occu	freq-per-mill	usual	rank	racio
in	1	344.23	1071.01	931	0.32
loco	1	344.23	47.57	21020	7.24
assembleia	1	344.23	49.99	7415	6.89
contacto	1	344.23	190.45	5248	1.81
presencial	1	344.23	109.77	9107	3.14
devagarinho	1	344.23	23.01	43458	14.96
estivermos	1	344.23	39.68	25196	8.67
estudar	1	344.23	494.88	2018	0.70
certamente	1	344.23	506.66	1971	0.68
:	1	344.23	33670.03	27	0.01
nosso	1	344.23	1511.26	173	0.23
recomendação	1	344.23	159.19	6279	2.16
encerrar	1	344.23	125.07	7993	2.75
gostaria	1	344.23	8.56	1459	40.20
abordar	1	344.23	111.29	6866	3.09
pontinho	1	344.23	23.25	63959	14.80
Acabamos	1	344.23	90.83	34493	3.79
obrigada	1	344.23	298.71	3345	1.15
