palavra,lema,pos,entidade,dependencia,ranking
tranquilidade,tranquilidade,NOUN,-,conj,4340
",",",",PUNCT,-,punct,0
de,de,SCONJ,-,mark,2
estar,estar,AUX,-,cop,238
perto,perto,ADV,-,advmod,775
de,de,ADP,-,case,2
você,você,PRON,-,obl,54
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
O,o,PRON,-,det,28
que,que,PRON,-,obj,7
você,você,PRON,-,nsubj,54
lembra,lembrar,VERB,-,acl:relcl,2772
com,com,ADP,-,case,12
mais,mais,DET,-,det,25
carinho,carinho,NOUN,-,obl,2385
daquele,de aquele,ADP,-,case,2165
dia,dia,NOUN,-,nmod,67
",",",",PUNCT,-,punct,0
além,além,ADV,-,advmod,164
do,de o,ADP,-,case,8
momento,momento,NOUN,-,obl,201
que,que,PRON,-,obj,7
a,o,DET,-,det,5
gente,gente,NOUN,-,nsubj,309
se,se,PRON,-,expl,24
encontrou,encontrar,VERB,-,acl:relcl,3438
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Nesse,em esse,ADP,-,case,1231
dia,dia,NOUN,-,nmod,67
",",",",PUNCT,-,punct,0
o,o,DET,-,det,6
momento,momento,NOUN,-,ROOT,201
em,em,ADP,-,case,10
que,que,PRON,-,obl,7
te,te,PRON,-,obj,398
vi,ver,VERB,-,acl:relcl,1166
.,.,PUNCT,-,punct,3
Mas,mas,CCONJ,-,cc,130
dos,de o,ADP,-,case,30
meus,meu,DET,-,det,574
dias,dia,NOUN,-,nmod,144
no,em o,ADP,-,case,16
Brasil,Brasil,PROPN,LOC,nmod,99
",",",",PUNCT,-,punct,0
o,o,DET,-,det,6
momento,momento,NOUN,-,nsubj,201
que,que,PRON,-,obj,7
eu,eu,PRON,-,nsubj,63
lembro,lembrar,VERB,-,acl:relcl,4137
com,com,ADP,-,case,12
mais,mais,DET,-,det,25
carinho,carinho,NOUN,-,obl,2385
foi,ser,AUX,-,cop,35
a,o,DET,-,det,5
primeira,primeiro,ADJ,-,amod,166
vez,vez,NOUN,-,ROOT,108
que,que,SCONJ,-,nsubj,7
